Booth_No,EPIC
1,1013
2,1148
3,1107
4,1208
5,613
6,1257
7,1377
8,1305
9,1049
10,758
11,988
12,647
13,813
14,925
15,831
16,768
17,870
18,1049
19,1231
20,1272
21,511
22,604
23,1421
24,716
25,1399
26,1394
27,587
28,1076
29,1159
30,1082
31,796
32,1229
33,1047
34,1366
35,1194
36,1248
37,1165
38,1018
39,1354
40,674
41,689
42,828
43,820
44,1388
45,1124
46,832
47,1034
48,1417
49,806
50,952
51,1351
52,777
53,1004
54,807
55,1078
56,685
57,1225
58,1094
59,1011
60,1100
61,983
62,761
63,666
64,1292
65,1019
66,1249
67,957
68,1017
69,691
70,716
71,1322
72,1235
73,1219
74,436
75,930
76,742
77,729
78,1301
79,631
80,552
81,510
82,1141
83,970
84,1329
85,880
86,1369
87,1032
88,601
89,1112
90,1151
91,1149
92,1079
93,1218
94,402
95,1045
96,677
97,722
98,1177
99,1119
100,1081
101,1329
102,1231
103,1228
104,550
105,503
106,1244
107,1202
108,941
109,1269
110,1265
111,944
112,1216
113,517
114,466
115,698
116,482
117,1095
118,835
119,1347
120,1369
121,1400
122,1148
123,1190
124,1415
125,695
126,548
127,1370
128,1157
129,587
130,812
131,993
132,997
133,720
134,360
135,996
136,887
137,1044
138,1297
139,1034
140,1121
141,992
142,1172
143,896
144,567
145,1017
146,734
147,1001
148,572
149,560
150,824
151,1270
152,506
153,777
154,764
155,891
156,1174
157,1275
158,929
159,831
160,869
161,501
162,916
163,885
164,857
165,1034
166,1157
167,730
168,1184
169,461
170,598
171,878
172,1251
173,1241
174,1265
175,1308
176,956
177,1321
178,909
179,658
180,1126
181,1030
182,1371
183,1381
184,1022
185,911
186,991
187,1010
188,1054
189,1290
190,1491
191,1277
192,1212
193,1021
194,574
195,493
196,893
197,1274
198,923
199,755
200,1149
201,874
202,701
203,570
204,1250
205,943
206,938
207,1337
208,1293
209,960
210,1049
211,748
212,692
213,913
214,1023
215,929
216,1154
217,1212
218,1218
219,841
220,418
221,1019
222,884
223,691
224,1195
225,599
226,635
227,641
228,1423
229,1499
230,750
231,621
232,817
233,1296
234,1213
235,1190
236,760
237,659
238,1095
239,876
240,786
241,1083
242,747
243,761
244,399
245,1296
246,1241
247,1034
248,1203
249,955
250,426
251,744
252,1054
253,795
254,1060
255,1192
256,1037
257,947
258,825
259,953
260,934
261,1199
262,1052
263,1096
264,517
265,670
266,1192
267,691
268,782
269,1054
270,561
271,662
272,1257
273,1156
274,1180
275,467
276,1154
277,1159
278,1159
279,779
280,1403
281,1067
282,593
283,636
284,1204
285,1239
286,731
287,1390
288,485
289,1169
290,1033
291,1222
292,1376
293,907
294,916
295,792
296,678
297,976
298,997
299,1025
300,862
301,954
302,959
303,1411
304,981
305,676
306,633
307,1187
308,1001
309,809
310,767
311,713
